division_rank,first_name,last_name,alias,region,division,conservative_rating,mu,sigma,ordinal,matches_played,percentage_of_best
1,Faj,Tran,fajsan,SWE,Classic,29.57,35.73,7.32,13.77,36,100.0
2,Robert,Söderström,,SWE,Classic,28.58,39.0,12.38,1.86,18,96.67
3,Martin,Håkansson,hakansson,SWE,Classic,25.69,29.59,4.64,15.67,60,86.87
4,Peter,Kastell,kastell,SWE,Classic,25.47,40.65,18.04,-13.48,7,86.13
5,Pär,Hylander,hylander,SWE,Classic,24.65,32.23,9.01,5.21,19,83.36
6,Jerry,Pettersson,laerkkan,SWE,Classic,24.6,28.89,5.09,13.62,54,83.21
7,Bengt,Bäckström,duracell,SWE,Classic,19.73,25.52,6.88,4.89,61,66.74
8,Kent,Stangvik,nordicraven,SWE,Classic,19.5,27.62,9.65,-1.34,23,65.93
9,Jonas,Björk,whistler,SWE,Classic,19.35,29.66,12.25,-7.1,13,65.44
10,lars-tony,skoog,skoogis,SWE,Classic,18.96,37.98,22.59,-29.8,5,64.13
11,Kim,Gustafsson,mopargun,SWE,Classic,18.93,25.21,7.46,2.83,36,64.03
12,Adam,Lundgren,adamlun,SWE,Classic,18.75,27.1,9.93,-2.68,25,63.4
13,Magnus,Appelkvist,kapten,SWE,Classic,18.74,25.33,7.82,1.86,54,63.39
14,David,Lindhe,davlin,SWE,Classic,18.48,29.26,12.8,-9.15,13,62.51
15,Anders,Zander,masterwelder,SWE,Classic,18.38,23.97,6.63,4.06,54,62.17
16,Håkan T,Söderholm,semperprimus,SWE,Classic,18.26,25.97,9.16,-1.5,41,61.77
17,Lars-Åke,Ingemarsson,3gun,SWE,Classic,18.17,26.2,9.54,-2.42,29,61.46
18,Fredrik,Sunnermark,qarlzon,SWE,Classic,18.11,25.07,8.27,0.25,43,61.23
19,Adam,Vikberg,nitrohunter,SWE,Classic,18.08,29.35,13.39,-10.81,19,61.14
20,Marjan,Angelovski,marang,SWE,Classic,17.85,24.96,8.44,-0.37,34,60.37
21,Robert,Andersson,rubanksps,SWE,Classic,17.73,25.17,8.84,-1.35,32,59.97
22,Erik,Larsson,eqlazer,SWE,Classic,16.77,25.6,10.5,-5.9,19,56.7
23,Thomas,Persson,,SWE,Classic,16.69,23.46,8.05,-0.68,43,56.44
24,Tord,Andersson,azon,SWE,Classic,16.04,30.1,16.71,-20.03,10,54.24
25,Johannes,Erngren,monkey,SWE,Classic,16.0,25.32,11.07,-7.91,22,54.1
26,Kalle,Halvarsson,adhd,SWE,Classic,14.99,33.24,21.69,-31.83,4,50.69
27,Andreas,Kräling,glock999,SWE,Classic,14.45,24.92,12.44,-12.41,25,48.86
28,Kim,Hansson,sylta,SWE,Classic,14.19,24.57,12.33,-12.41,30,48.0
29,Jesper,Dahlskog,dahlskog,SWE,Classic,13.86,22.66,10.46,-8.72,27,46.87
30,Daniel,Lilienberg,mcping,SWE,Classic,13.73,30.62,20.07,-29.58,7,46.43
31,Tomas,Hellström,,SWE,Classic,13.58,23.89,12.26,-12.88,26,45.92
32,Stefan,Grahn,,SWE,Classic,13.57,22.82,11.0,-10.18,41,45.88
33,Jan,Tirfing,tirre,SWE,Classic,13.54,22.46,10.59,-9.31,33,45.8
34,Pär,Linnarsson,,SWE,Classic,13.47,23.28,11.65,-11.67,35,45.57
35,Tomas,Svalö,tomme,SWE,Classic,13.36,25.22,14.1,-17.07,14,45.17
36,Kim,Falkenback,,SWE,Classic,13.18,23.95,12.79,-14.43,18,44.59
37,Jonny,Nordin,murgo,SWE,Classic,13.17,24.17,13.06,-15.02,19,44.56
38,Linus,Johansson,,SWE,Classic,12.93,26.11,15.66,-20.87,9,43.75
39,Thomas,Hjelm,ipscnooben,SWE,Classic,12.84,23.72,12.93,-15.06,20,43.44
40,Eric,Ericsson,sweaa,SWE,Classic,12.52,24.38,14.09,-17.88,15,42.36
41,Jonas,Forslund,forsis,SWE,Classic,12.22,28.27,19.06,-28.92,6,41.33
42,Lars,Löfven,fleshrebel,SWE,Classic,12.2,23.43,13.35,-16.61,23,41.25
43,Per,NotKnown,ipscper,SWE,Classic,12.1,23.23,13.23,-16.46,13,40.91
44,Roberth,Friberg,fribbe,SWE,Classic,11.94,25.7,16.35,-23.35,8,40.37
45,Stefan,Kruse,dirty,SWE,Classic,11.91,24.03,14.4,-19.16,11,40.28
